Código da Planilha;Primeira Camada SIOPE;Segunda Camada SIOPE;Terceira Camada SIOPE;Quarta Camada SIOPE;Quinta Camada SIOPE;Observação/Regra
1419;Despesas Próprias Custeadas com Impostos e Transferências;Educação Infantil (Creche) - Exceto FUNDEB ;367 - Educação Especial;;
714;Despesas Próprias Custeadas com Impostos e Transferências;Educação Infantil (Creche) - Exceto FUNDEB ;782 - Transporte Escolar;;
1402;Despesas Próprias Custeadas com Impostos e Transferências;Educação Infantil (Pré-Escola) - Exceto FUNDEB ;122 - Administração Geral;;
137;Despesas Próprias Custeadas com Impostos e Transferências;Educação Infantil (Pré-Escola) - Exceto FUNDEB ;306 - Alimentação e Nutrição - Merenda Escolar;;
11;Despesas Próprias Custeadas com Impostos e Transferências;Educação Infantil (Pré-Escola) - Exceto FUNDEB ;365 - Educação Infantil;;
1420;Despesas Próprias Custeadas com Impostos e Transferências;Educação Infantil (Pré-Escola) - Exceto FUNDEB ;367 - Educação Especial;;
315;Despesas Próprias Custeadas com Impostos e Transferências;Educação Infantil (Pré-Escola) - Exceto FUNDEB ;782 - Transporte Escolar;;
337;Despesas Próprias Custeadas com Impostos e Transferências;392 - Difusão Cultural;;;
338;Despesas Próprias Custeadas com Impostos e Transferências;722 - Telecomunicações (Educação a Distância);;;
602;Despesas Próprias Custeadas com Impostos e Transferências;812 - Desporto Comunitário;;;
609;Despesas Próprias Custeadas com Impostos e Transferências;813 - Lazer;;;
1649;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30;;;
1517;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Ensino Fundamental ;122 - Administração Geral
1518;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Ensino Fundamental ;306 - Alimentação e Nutrição - Merenda Escolar
1519;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Ensino Fundamental ;361 - Ensino Fundamental
1520;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Ensino Fundamental ;366 - Educação de Jovens e Adultos
1521;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Ensino Fundamental ;367 - Educação Especial
1522;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Ensino Fundamental ;782 - Transporte Escolar
1524;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Educação Infantil (Creche) ;122 - Administração Geral
1525;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Educação Infantil (Creche) ;306 - Alimentação e Nutrição - Merenda Escolar
1526;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Educação Infantil (Creche) ;365 - Educação Infantil
1527;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Educação Infantil (Creche) ;367 - Educação Especial
1528;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Educação Infantil (Creche) ;782 - Transporte Escolar
1530;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Educação Infantil (Pré-Escola) ;122 - Administração Geral
1531;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Educação Infantil (Pré-Escola) ;306 - Alimentação e Nutrição - Merenda Escolar
1532;Despesas Custeadas com Receitas do FUNDEB Recebidas no Exercício + Superavit;FUNDEB 30 ;FUNDEB (Impostos e Transferências) ;Educação Infantil (Pré-Escola) ;365 - Educação Infantil
